id,name,current_L1_mapping
664,"BlueBeam ReVu", and more. Bluebeam Revu. Revu� offers powerful
664,"BlueBeam ReVu", and more. Bluebeam Revu. Revu� offers powerful
670,BlueView,"Geological Info Management"
669,Blueview,"Geological Info Management"
1440,"BuildMe (Atlantic Region)","IT Service Delivery"
686,CADWorx,Intergraph
689,"CAFMOC (Data Archive)","Maintenance & Reliability"
1839,"CAT Finning","Materials Management"
130,"CAT Finning Online Parts Catalogue","Materials Management"
701,"CDI32 (Heavy Oil)",""
1704,CEMS, and Continous Emissions Monitoring (CEM) integrators. This solid experience base allows CEMView to be a highly interactive and customizable data acquisition system which utilizes expensive archiving capabilities. Using the systems powerful
1704,CEMS, and Continous Emissions Monitoring (CEM) integrators. This solid experience base allows CEMView to be a highly interactive and customizable data acquisition system which utilizes expensive archiving capabilities. Using the systems powerful
673,"CGE BowtieXP Advanced (Atlantic Region)",""
673,"CGE BowtieXP Advanced (Atlantic Region)",""
740,CMG, dynamic gridding and the multi-physics required to correctly model each process
740,CMG, dynamic gridding and the multi-physics required to correctly model each process
772,"CMG Suite",""
772,"CMG Suite",""
1980,"CMT Tools", cranes and other construction uses."
1980,"CMT Tools", cranes and other construction uses."
425,"CNLOPB Reports Custom (Atlantic Region)","Regulatory Compliance"
751,COMPASS, and anti-collision analysis enabling engineers to steer the bit into the profitable pay zone."
751,COMPASS, and anti-collision analysis enabling engineers to steer the bit into the profitable pay zone."
788,CPIR,"Reservoir Optimization"
788,CPIR,"Production Accounting"
799,"CS Land (CVE)", and surface rights. This may include information on: Joint Venture contract details
1365,"CS Log Source","Geological Info Management"
183,"Cadworx Pro","Facility Design"
687,"Caesar II", assess and report on piping systems of any size or complexity in accordance to more than 35 international piping code standards with multiple editions and alternative calculations as well as many environmental and equipment guidelines. Integration with CAD design packages lets you quickly import models
687,"Caesar II", assess and report on piping systems of any size or complexity in accordance to more than 35 international piping code standards with multiple editions and alternative calculations as well as many environmental and equipment guidelines. Integration with CAD design packages lets you quickly import models
1386,"Calsep PVTSim (Atlantic Region)", PVT lab engineers
1386,"Calsep PVTSim (Atlantic Region)", PVT lab engineers
1678,"CanOils and DOB Docs","Bus.Development
690,"Canadian Discovery Digest Online", Alberta
690,"Canadian Discovery Digest Online", Alberta
1801,"Canon uniFLOW (China)", SHKWRPSPD0021 (These three servers are not ready yet)
691,"Canvas 14GIS","Geological Info Management"
1069,"Capital Manager (Data Archive)","Capital Asset Management"
137,"Capital Projects Workspace (CPW) � Upstream","Project Management"
137,"Capital Projects Workspace (CPW) � Upstream","Facility Construction"
554,CasingSeat, based on the minimum setting-depth requirements and the maximum permissible drill head depths
554,CasingSeat, based on the minimum setting-depth requirements and the maximum permissible drill head depths
553,Casingseat, based on the minimum setting-depth requirements and the maximum permissible drill head depths
553,Casingseat, based on the minimum setting-depth requirements and the maximum permissible drill head depths
1988,Ceres,"Reservoir Development"
1988,Ceres,"Well Design & Planning"
1665,"Change Management Solution (Atlantic Region)","Control of Work"
718,Chromeleon, Site Services Danny Lapointe / Jason O'Driscoll FC   Lab Coordinator Joel Girard / Tanis Chaba CL   Lab Coordinator Eddie Chung / Rudy Peters"
743,"CoLab (Atlantic Region)", teams can review designs 2x faster."
742,"Cogent - Well Targets",""
742,"Cogent - Well Targets",""
749,"Commvault (Asia Pacific)", SHKWCMAPD0018.cenovus.com (Media Agent)"
754,Compress, Compress selects sizes
759,ConsignO, and maintain active professional APEGA stamps via digital signature. Provide ability to group stamped/signed documents as a portfolio of PDFs without compromising stamp integrity. "
452,"Contractor Stats (Atlantic Region)","Supplier Management"
888,"Control of Work (Atlantic Region)","Control of Work"
766,"Conventional Portal","Project Management"
774,"Coreworx (China)","Data & Knowledge Management"
1686,"Corrosion Circuit Monitoring and Mapping (Data Archive)","Maintenance & Reliability"
1686,"Corrosion Circuit Monitoring and Mapping (Data Archive)","Maintenance Planning"
1815,CrystalControl,
814,"Custom Forms (Atlantic Region)","Operations Management"
824,"Cute FTP (Atlantic Region)",""
1744,"DIDS Update","Geological Info Management"
1744,"DIDS Update","Land Management"
1065,DRSize, and resize images online in no time with a completely free image resizer tool."
1051,DRTS,"Resource Scheduling"
1051,DRTS,"Well Design & Planning"
1963,"DWG TrueView",
871,"DWL - Digital Well Library","Well Information Management"
1210,"DaWinci (Atlantic Region)","Operations Management"
1034,"Data Scavenger - Conventional","Production Accounting"
68,"Data Scavenger - FDC","Production Accounting"
847,DataView,"Geological Info Management"
864,DesignRite,"Well Design & Planning"
1320,"Dialog Transact","Data & Knowledge Management"
1789,DigitCore,"Geological Info Management"
883,"Dresser-Rand Compressor Sizing Tool","Process/Facilities Optimization"
1326,"E-Library (Jakarta)","Data & Knowledge Management"
1321,EBSCO,"Data & Knowledge Management"
907,"EDM Engineering", Stress check etc. The application is typically Deployed via SCCM Package and accesses via desktop installation through software center"
907,"EDM Engineering", Stress check etc. The application is typically Deployed via SCCM Package and accesses via desktop installation through software center"
487,"EOB, DOB & Nickles  Daily Oil Bulletin Release Stream:  Schema: N/A Secondary Support Contact:  Server Names: N/A Support Call Time: Less than 5 minutes Support Contact Manager: Andrew Lovett Support Contract: No Support Level Objective (SLO): Priority 3 T.I.M.E.: Invest Vendor: Nickle's Energy Group Vendor License Agreement Expiration Date:  Vendor License Agreement SLA#<p></p>Tier 1:       Tier 2:       Tier 3:"
896,ETAP,"Facility Design"
923,"ETAP (Atlantic Region)", monitoring
78,"ETAP (Western Canada)","Facility Design"
1708,"ETS - Electronic Transfer System","Regulatory Compliance"
1708,"ETS - Electronic Transfer System","Well Information Management"
934,"EXTERNAL - Zedi Canada Inc","Field Data Capture"
1755,Ecrin,"Reservoir Services Management"
1755,Ecrin,"Well Testing & Analytics"
711,"Electronic Shutdown Keys","Facilities Control"
711,"Electronic Shutdown Keys","Process Safety"
925,"Electronic Transfer System (ETS)","Regulatory Compliance"
806,"Emergency Response (Atlantic Region)",""
362,"Energy Components (Atlantic Region)", measure and report production volumes from Atlantic Region Asset historians"
361,"Energy Components - Conventional", measure and report production volumes from Deep Basin field systems."
361,"Energy Components - Conventional", measure and report production volumes from Deep Basin field systems."
360,"Energy Components - Oil Sands","Field Data Capture"
360,"Energy Components - Oil Sands","Production Accounting"
1991,Enersight, facilities and results. The drag and drop interface helps create projects (GANTT)
1991,Enersight, facilities and results. The drag and drop interface helps create projects (GANTT)
929,"Enersight Odata","Reservoir Optimization"
929,"Enersight Odata","Performance Management"
692,"Enersight Suite","Strategic Planning"
692,"Enersight Suite","Economic Assessment"
737,"Enersoft WellTools","Geological Info Management"
737,"Enersoft WellTools","Geological Development"
906,Enervista,"Facilities Control"
1200,"Enterprise Geodatabase","Geological Info Management"
542,"Enverus Core -Intelligence Data", spacing
542,"Enverus Core -Intelligence Data", spacing
1380,"Event Registry (Atlantic Region)", report renewals
1380,"Event Registry (Atlantic Region)", report renewals
1558,"External Editor","Facility Design"
1908,"FDC Data Load to DPVR","Production Accounting"
835,"FDC Flash","Lab Services Management"
835,"FDC Flash","Production Accounting"
1413,"FDC Utilities","Production Accounting"
1832,"FDC Web Reports - Crystal","Production Accounting"
1570,FEFLOW,"Reservoir Optimization"
1687,"FI Corrosion Circuit Monitoring","Maintenance & Reliability"
1687,"FI Corrosion Circuit Monitoring","Pipeline Management & Change"
1568,"FLIR Tools","Maintenance & Reliability"
939,"FME Flow", Load) processes in Husky GIS environment."
948,"FME Form","Geological Info Management"
949,"FME Scheduled Job",""
82,"FiberView DTS/DAS","Reservoir Optimization"
82,"FiberView DTS/DAS","Field Data Capture"
855,"Fisher Specification Manager","Facility Design"
209,Flarecheck,"Environmental Management"
209,Flarecheck,"Production Accounting"
210,Flowcheck,"Production Accounting"
1579,Flowtek,"Regulatory Compliance"
1579,Flowtek,"Production Accounting"
1572,"Fluke Thermal Camera","Maintenance & Reliability"
105,Forecaster,"Economic Assessment"
105,Forecaster,"Reservoir Optimization"
951,"Forge APC", building
951,"Forge APC", building
1943,"Frac Database", and it is successful. The users don't upload the data
1943,"Frac Database", and it is successful. The users don't upload the data
369,FracNet,""
369,FracNet,""
1055,"Fuel Flare Vent System (FFVS)","Environmental Management"
1055,"Fuel Flare Vent System (FFVS)","Regulatory Compliance"
1381,"Fuel Log (Atlantic Region)","Transport Management"
1807,"GDM (Frontier Land data)", West Coast)"
1807,"GDM (Frontier Land data)", West Coast)"
193,"GE - HSR","General Accounting & Budgeting"
986,GEM,"Economic Assessment"
986,GEM,"Competitor Analysis "
1758,"GIS Data Update Script for CPIR","Geological Info Management"
968,"Gas Engine Rating Pro","Process/Facilities Optimization"
1541,"Generic SFTP (St Johns_Sea Rose)",
1786,Generwell, scheduling and reporting tool for well execution  **Generwell is read only as of Dec. 12
1786,Generwell, scheduling and reporting tool for well execution  **Generwell is read only as of Dec. 12
555,GeoGraphix,"Geological Optimization"
555,GeoGraphix,"Geological Development"
973,GeoJobe, content
1813,"GeoPERQ NTv2 Tool",
1856,"GeoSyn (64-bit)","Geological Development"
979,"GeoView - Hampson Russell","Geological Optimization"
979,"GeoView - Hampson Russell","Seismic Management"
993,"GeoView HampsonRussell HRS (Atlantic Region)","Geological Info Management"
993,"GeoView HampsonRussell HRS (Atlantic Region)","Reservoir Development"
769,GeoWiz,"Geological Info Management"
610,GeoX,Schlumberger
610,GeoX,Schlumberger
230,"Geochemist's Workbench","Reservoir Services Management"
872,"Global Mapper","Geological Info Management"
1382,"Go No Go (Atlantic Region)","Operations Planning"
85,"GoCad 2015.5","Geological Development"
85,"GoCad 2015.5","Seismic Management"
987,"GoCad 2019.0.2","Geological Development"
987,"GoCad 2019.0.2","Seismic Management"
988,Gohfer,"Reservoir Services Management"
988,Gohfer,"Well Completion"
486,"Google Earth", terrain
1007,"HOG Datamart (Heavy Oil)",""
1007,"HOG Datamart (Heavy Oil)",""
1379,"HSEQ Reporting (Atlantic Region)", Supplier Audits
854,"HTRI Xchanger Suite", detailed heat exchanger analysis software. We use it for monitoring the performance and fouling of existing heat exchangers in operation at FC and CL to determine when they need to be cleaned and replaced
854,"HTRI Xchanger Suite", detailed heat exchanger analysis software. We use it for monitoring the performance and fouling of existing heat exchangers in operation at FC and CL to determine when they need to be cleaned and replaced
1026,I-Glass, our Cyber Security team requires completion of the attached questionnaire
1020,"IBM Aspera High-Speed Transfer Endpoint",IBM
1290,"ICDD Database", are represented in the database
70,"IHS Data Manager","Geological Info Management"
840,"IHS Data Manager","Geological Info Management"
1368,"IHS Maxar Imagery Services", most recent and best resolution (30-50cm) imagery available. Additional imagery services including reference mapping
1368,"IHS Maxar Imagery Services", most recent and best resolution (30-50cm) imagery available. Additional imagery services including reference mapping
1519,"IHS Scheduled Job (PRO C Program)","Geological Info Management"
1028,"IHS Standards Expert", oil & gas codes and anything that would be used for construction purposes.  This is a web application."
937,"IHS WellTest","Reservoir Services Management"
937,"IHS WellTest","Well Testing & Analytics"
846,IHSDATA,"Geological Info Management"
846,IHSDATA,"Land Management"
764,"IMS (Atlantic Region)","Facilities Control"
764,"IMS (Atlantic Region)","Field Data Capture"
960,"IRIS (Integrated Resource Information System)",""
460,"Ice Data Network System","Emergency Management"
460,"Ice Data Network System","Operations Management"
1765,InfoMaker,
850,"Infragistics NetAdvantage for .NET",
867,"Intel Cluster Compiler C++",
1048,Interact,"Field Data Capture"
1048,Interact,"Well Drilling"
1714,"Interactive Petrophysics",""
1714,"Interactive Petrophysics",""
1715,"Interactive Petrophysics", workflows and equations that Cayros will provide us. It has a more user-friendly interface which makes it quicker for current Cenovus employees to pick up and run with. "
1715,"Interactive Petrophysics", workflows and equations that Cayros will provide us. It has a more user-friendly interface which makes it quicker for current Cenovus employees to pick up and run with. "
1053,Intersect, pads or even pods) to perform analyses of large scale redevelopment programs
1053,Intersect, pads or even pods) to perform analyses of large scale redevelopment programs
1060,"IronSight - Dispatch Automation Tool ","Dispatch Management"
1078,Jason,CGG
1078,Jason,CGG
650,JewelSuite, Inc."
650,JewelSuite, Inc."
1083,"Jira Software Cloud", and stay up-to-date with program or scrum activity."
1128,"Kabal (Atlantic Region)","Transport Management"
841,"Kappa Ecrin","Reservoir Services Management"
841,"Kappa Ecrin","Well Testing & Analytics"
1088,"Kappa Ecrin (Atlantic Region)","Reservoir Development"
404,"Kingdee (China)","HR Operations/Enablement"
1098,"Korf Hydraulics","Pipeline Management & Change"
1098,"Korf Hydraulics","Facility Design"
1103,"LAS Tools Pro","Geological Info Management"
1102,"LAS Worx", and management within the oil and gas industry. The company offers a suite of tools for the cleaning
1946,LASTools,"Geological Info Management"
517,"Land Accumap Layers", and regions. Each of these has a slightly different format
517,"Land Accumap Layers", and regions. Each of these has a slightly different format
1689,"Land Acreage Reconciliation","Land Management"
1833,"Landmark Engineer's Desktop (EDT)", PPDM
1833,"Landmark Engineer's Desktop (EDT)", PPDM
491,"Landmark Engineer's Desktop EDT (Atlantic Region)", WellCat Content Type: Item Created: 2011-03-17 13:05:37 Created By: Kelley Greer-White Customization Level: Packaged Database Platform:  Disaster Recovery Plan Coverage: No Division: Upstream Documentation Level:  Documentation Links: Installation and User documentation External Support Cost: 0 Form Status: QA Complete Foundation Dependencies:  Frequency of Upgrades: Sporadic Hosted Location: East Coast Data Centre ID: 1211 Infrastructure Cost: 0 Initial Implementation Cost:  Installation Year: 0 Is Asset Still Within Vendor Support Window?: Yes IS Supporting Unit: Atlantic Item Type: Item License Cost: 0 License Type: License Server Logging:  Maintenance Cost: 0 Modified: 2012-05-29 18:50:37 Modified By: Allan Guillermo Multiple Environments: No Name of Production Database Instance:  Number of Production Servers Consumed:  Number of Registered Users: Up to 5 Number of Support Contacts: Up to 10 Operating System:  P.A.C.E.:  Systems of Record Path: appinventory/Lists/InventoryData Primary Support Contact: Johnny Murrin Process:  Purpose: Landmark's StressCheck� casing design software for designing casing
491,"Landmark Engineer's Desktop EDT (Atlantic Region)", WellCat Content Type: Item Created: 2011-03-17 13:05:37 Created By: Kelley Greer-White Customization Level: Packaged Database Platform:  Disaster Recovery Plan Coverage: No Division: Upstream Documentation Level:  Documentation Links: Installation and User documentation External Support Cost: 0 Form Status: QA Complete Foundation Dependencies:  Frequency of Upgrades: Sporadic Hosted Location: East Coast Data Centre ID: 1211 Infrastructure Cost: 0 Initial Implementation Cost:  Installation Year: 0 Is Asset Still Within Vendor Support Window?: Yes IS Supporting Unit: Atlantic Item Type: Item License Cost: 0 License Type: License Server Logging:  Maintenance Cost: 0 Modified: 2012-05-29 18:50:37 Modified By: Allan Guillermo Multiple Environments: No Name of Production Database Instance:  Number of Production Servers Consumed:  Number of Registered Users: Up to 5 Number of Support Contacts: Up to 10 Operating System:  P.A.C.E.:  Systems of Record Path: appinventory/Lists/InventoryData Primary Support Contact: Johnny Murrin Process:  Purpose: Landmark's StressCheck� casing design software for designing casing
1728,"Landmark Openworks (Atlantic Region)","Geological Info Management"
1728,"Landmark Openworks (Atlantic Region)","Geological Development"
1113,"Leica Application Suite","Lab Services Management"
1719,"Levelogger / Level Logger", and can be barometrically compensated with the aid of a Barologger."
1719,"Levelogger / Level Logger", and can be barometrically compensated with the aid of a Barologger."
53,"Line List Application","Facility Design"
53,"Line List Application","Facility Construction"
54,"Line List Application",
582,"Log Data ToolBox", and LAS)  Log Data Toolbox integrated software utilities for log data and graphics enables the inspection
1775,"Log Manager", corrolate
1075,"Log Sleuth", and picker for MJ's rasters"
1870,"Lost Production Allocations","Production Accounting"
1870,"Lost Production Allocations","Performance Management"
1170,"MHS - Material Handling System","Cenovus Energy Inc."
1170,"MHS - Material Handling System","Cenovus Energy Inc."
1836,Macabacus,
547,"Machinery Health Manager", Standalone Data Transfer
1916,Manpower,"Emergency Management"
1916,Manpower,"Facility Construction"
1157,MatLab,"Reservoir Services Management"
1156,"Matlab  -  Mathworks","Reservoir Services Management"
1160,Maxi-Trak, vessels
1160,Maxi-Trak, vessels
1161,"Maxi-Trak Pipelines",� schedules inspections
1161,"Maxi-Trak Pipelines",� schedules inspections
908,"McLaren Enterprise","Data & Knowledge Management"
908,"McLaren Enterprise","Facility Design"
1723,"Me'Scope","Maintenance & Reliability"
1169,"Meyer MFRAC", minifrac analysis
1169,"Meyer MFRAC", minifrac analysis
557,"Mineral A&D","Bus.Development
1199,Mosaic, Budget & Planning
1199,Mosaic, Budget & Planning
1725,"NOV (National Oilwell Varco)","Field Data Capture"
1725,"NOV (National Oilwell Varco)","Well Drilling"
1826,"Natural Resource",""
1222,Neuralog,"Geological Info Management"
1798,Nicelabel,"Materials Management"
756,"North America Supply Analytics", Smartphone (iPhone or Android) or iPad 
756,"North America Supply Analytics", Smartphone (iPhone or Android) or iPad 
831,"ODR (Data Archive)","Field Data Capture"
1238,"OFM - Oil Field Manager (Western Canada)","Reservoir Optimization"
1238,"OFM - Oil Field Manager (Western Canada)","Production Accounting"
1244,OLGA, to maximize production potential."
1244,OLGA, to maximize production potential."
1246,OMNI, and analysis of land
1724,"OMNI 3D","Seismic Management"
808,"OSV Dashboard (Atlantic Region)","Transport Management"
1743,OVS, surveillance by exception
1743,OVS, surveillance by exception
1234,"Oasis Montaj", modelling
1234,"Oasis Montaj", modelling
1522,OnePetro,"Data & Knowledge Management"
1747,"Online Geophysical Storage",""
1747,"Online Geophysical Storage",""
234,"Open iT Software Metering and Reporting Suite",
218,Optimize,"Reservoir Optimization"
982,Optiseis, and value assessment software provides easy-to-use and scalable decision support for consistent
982,Optiseis, and value assessment software provides easy-to-use and scalable decision support for consistent
72,"PARCView  Suite - HLR","Capstone Technology Corporation"
72,"PARCView  Suite - HLR","Capstone Technology Corporation"
845,"PARCView Suite - Foster Creek","Process/Facilities Optimization"
845,"PARCView Suite - Foster Creek","Operations Management"
75,"PARCView Suite - HLU","Capstone Technology"
75,"PARCView Suite - HLU","Capstone Technology"
74,"PARCView Suite - LEP","Capstone Technology"
74,"PARCView Suite - LEP","Capstone Technology"
844,"PARCView Suite - Lloyd","Process/Facilities Optimization"
844,"PARCView Suite - Lloyd","Operations Management"
76,"PARCView Suite - Minnedosa","Capstone Technology Corporation"
76,"PARCView Suite - Minnedosa","Capstone Technology Corporation"
73,"PARCView Suite - Rainbow Lake","Capstone Technology"
73,"PARCView Suite - Rainbow Lake","Capstone Technology"
843,"PARCView Suite - Sunrise","Process/Facilities Optimization"
843,"PARCView Suite - Sunrise","Operations Management"
1282,PCCU,"Facilities Control"
1735,"PDMS - Jakarta","Production Accounting"
1301,"PHA-PRO (Western Canada)","Process Safety"
1300,"PHA-Pro (Atlantic Region)", Layer of Production Analysis (LOPA) and Safety Integrity Levels Assignment (SIL).<p></p>Tier 1:     Atlantic Region Service Desk  Tier 2:       Tier 3:"
1305,"PI Datalink Excel addin(Sunrise)","Process/Facilities Optimization"
1305,"PI Datalink Excel addin(Sunrise)","Field Data Capture"
1307,"PI Historian (Christina Lake North)", enhance
1308,"PI Historian (DownStream)", enhance
1308,"PI Historian (DownStream)", enhance
1309,"PI Historian (FCCL)", enhance
1309,"PI Historian (FCCL)", enhance
1562,"PI Historian (Lima)","Process/Facilities Optimization"
1562,"PI Historian (Lima)","Facilities Control"
1310,"PI Historian (Lloyd Thermal)", enhance
1310,"PI Historian (Lloyd Thermal)", enhance
1311,"PI Historian (Sunrise)", enhance
1311,"PI Historian (Sunrise)", enhance
1312,"PI Historian (Superior)", enhance
1312,"PI Historian (Superior)", enhance
1313,"PI Historian (Toledo)", enhance
1313,"PI Historian (Toledo)", enhance
87,PIPER, pump capacity
87,PIPER, pump capacity
101,PIPESIM, pipelines
101,PIPESIM, pipelines
1316,PIPESIM,"Pipeline Management & Change"
1316,PIPESIM,"Facility Design"
1622,PIRM,"Reservoir Services Management"
1323,"PM Suite","Production Accounting"
1748,"POMS Well Test","Production Accounting"
1748,"POMS Well Test","Well Testing & Analytics"
1341,"PROCAD Software", P & ID and Isometric)  With PROCAD Electric
1350,PVR,"Field Data Capture"
1350,PVR,"Production Accounting"
1417,"PVR/GFR Wizard (Excel Add-in)","Production Accounting"
947,"PVT Pro","Reservoir Services Management"
1387,"PVTSim (Atlantic Region)",Calsep
946,"PVTsim (Western Canada)","Reservoir Services Management"
1273,Paleoscan, faults and multi-Z objects. A suite of applications allows the generation of horizons
1273,Paleoscan, faults and multi-Z objects. A suite of applications allows the generation of horizons
1275,"Pandell Roads",""
1277,Panther, integration
106,"Pason Datahub","Well Information Management"
106,"Pason Datahub","Well Drilling"
1664,"PathFinder (WoodMac)", corporate and country level."
1664,"PathFinder (WoodMac)", corporate and country level."
1736,"Peloton Portal","Well Information Management"
1858,"Peloton Upstream IT",""
1737,Permasense,"Maintenance & Reliability"
1737,Permasense,"Pipeline Management & Change"
395,"Permit To Work System (Atlantic Region)","Control of Work"
136,"Pete Rose Risk Analysis (ToolBox)", and Normal Distribution based on a minimal number of inputs - Gas Expansion Factors
136,"Pete Rose Risk Analysis (ToolBox)", and Normal Distribution based on a minimal number of inputs - Gas Expansion Factors
1788,"Petex IPM", and the surface network."
1292,Petrel,"Geological Optimization"
1292,Petrel,"Geological Development"
1292,Petrel,"Reservoir Optimization"
1043,"Petrel (Atlantic Region)", enabling them to create a shared vision of the reservoir. This shared earth approach empowers companies to standardize workflows across E&P and make more informed decisions with a clear understanding of both opportunities and risks.<p></p>Tier 1:     St. John's Service Desk  Tier 2:       Tier 3:"
1043,"Petrel (Atlantic Region)", enabling them to create a shared vision of the reservoir. This shared earth approach empowers companies to standardize workflows across E&P and make more informed decisions with a clear understanding of both opportunities and risks.<p></p>Tier 1:     St. John's Service Desk  Tier 2:       Tier 3:"
434,"Petrel Licensing Server (China)",
1607,"Petrel Licensing Server (Jakarta)",
832,"Petrel Studio Manager","Geological Optimization"
832,"Petrel Studio Manager","Geological Info Management"
1299,"Petro Web","Geological Info Management"
1299,"Petro Web","Geological Development"
1298,PetroPlan, and run scenarios to accommodate any change in facility additions
359,PetroVR, Facilities Engineers
359,PetroVR, Facilities Engineers
1738,"Petroleum Abstracts","Data & Knowledge Management"
1295,"Petroleum Experts (Atlantic Region)", Structural Geology Software Modelling and Optimisation Tools.<p></p>Tier 1:       Tier 2:       Tier 3:"
1151,"Petrosys Suite",""
1151,"Petrosys Suite",""
1072,"Pipeline Data Management Service","Pipeline Management & Change"
1072,"Pipeline Data Management Service","Geological Info Management"
1848,Pixelinc,"Geological Execution"
1848,Pixelinc,"Lab Services Management"
1597,Portfolio,"Economic Assessment"
1675,Postman, though
975,"PowerSuite (Curve and Log)","Geological Execution"
975,"PowerSuite (Curve and Log)","Field Data Capture"
771,"Powersuite - PowerCore (Atlantic Region)",""
771,"Powersuite - PowerCore (Atlantic Region)",""
1964,PreView, PPMGZ and tif (black and white and colour) files to create LAS files from the DPK format and to create client plots in their entirety for viewing on the screen and printing. It allows one or more image files of any length to be viewed side by side and allows the images to be annotated and manipulated."
1351,"Primavera P6 (Atlantic Region)","Project Management"
1340,"ProCad Plant and Design", like flanges
763,"ProCon (Atlantic Region)","Sourcing & Contracting"
1890,"Production Forecast Reporting (Atlantic Region)", budgets and forecasting<p></p>Tier 1:     Trevor Hogan  Tier 2:     Atlantic Region Service Desk  Tier 3:"
1890,"Production Forecast Reporting (Atlantic Region)", budgets and forecasting<p></p>Tier 1:     Trevor Hogan  Tier 2:     Atlantic Region Service Desk  Tier 3:"
